matchup+side,bets,wins,winrate,total_staked,profit,roi
Alejandro Davidovich Fokina vs Marcos Giron (p2),96,0,0.0,1.9087656611447948e+39,-1.9087656611447948e+39,-100.0
Casper Ruud vs Emilio Nava (p2),90,0,0.0,1.2236651419337387e+37,-1.2236651419337387e+37,-100.0
Aleksandar Vukic vs Alexander Zverev (p1),18,0,0.0,2.1507674128825254e+48,-2.1507674128825254e+48,-100.0
Hugo Gaston vs Sho Shimabukuro (p2),14,0,0.0,3.044150646496956e+47,-3.044150646496956e+47,-100.0
Borna Gojo vs Hugo Dellien (p2),90,0,0.0,7.034428461049817e+49,-7.034428461049817e+49,-100.0
Bernabe Zapata Miralles vs Ethan Quinn (p2),90,0,0.0,8.061931408393737e+51,-8.061931408393737e+51,-100.0
Benjamin Bonzi vs Quentin Halys (p2),8,0,0.0,4.1323284793834714e+51,-4.1323284793834714e+51,-100.0
Steve Johnson vs Taylor Fritz (p1),14,0,0.0,2.7184891237160966e+48,-2.7184891237160966e+48,-100.0
Stefano Travaglia vs Tommy Paul (p1),62,0,0.0,1.739849571910702e+49,-1.739849571910702e+49,-100.0
Marton Fucsovics vs Sebastian Korda (p2),10,0,0.0,3.337258291475317e+49,-3.337258291475317e+49,-100.0
Francisco Cerundolo vs Zachary Svajda (p2),90,0,0.0,1.215390850599517e+52,-1.215390850599517e+52,-100.0
Marco Cecchinato vs Roman Safiullin (p1),46,0,0.0,2.771430416186367e+49,-2.771430416186367e+49,-100.0
Aslan Karatsev vs Jiri Lehecka (p2),10,0,0.0,2.414069319799874e+46,-2.414069319799874e+46,-100.0
Arthur Fils vs Tallon Griekspoor (p2),18,0,0.0,1.49102612051371e+47,-1.49102612051371e+47,-100.0
Stan Wawrinka vs Yoshihito Nishioka (p2),176,0,0.0,4.174738359364154e+55,-4.174738359364154e+55,-100.0
Jack Draper vs Radu Albot (p2),174,0,0.0,5.69553857939778e+57,-5.69553857939778e+57,-100.0
Arthur Rinderknech vs Diego Schwartzman (p2),14,0,0.0,1.0404495930541404e+49,-1.0404495930541404e+49,-100.0
Matteo Berrettini vs Ugo Humbert (p2),176,0,0.0,2.2312580916246255e+49,-2.2312580916246255e+49,-100.0
Frances Tiafoe vs Sebastian Ofner (p2),74,0,0.0,1.421382526711792e+50,-1.421382526711792e+50,-100.0
Adrian Mannarino vs Fabian Marozsan (p2),76,0,0.0,1.480827999791584e+55,-1.480827999791584e+55,-100.0
Alejandro Davidovich Fokina vs Juan Manuel Cerundolo (p2),64,0,0.0,2.7021755175514445e+53,-2.7021755175514445e+53,-100.0
Jannik Sinner vs Yannick Hanfmann (p2),2,0,0.0,2.783149435983704e+48,-2.783149435983704e+48,-100.0
Botic Van De Zandschulp vs Jordan Thompson (p2),8,0,0.0,3.005667421206321e+57,-3.005667421206321e+57,-100.0
Ben Shelton vs Dominic Thiem (p2),80,0,0.0,9.686632654717068e+51,-9.686632654717068e+51,-100.0
Lorenzo Sonego vs Nicolas Moreno De Alboran (p2),172,0,0.0,6.42907914798373e+55,-6.42907914798373e+55,-100.0
Gael Monfils vs Taro Daniel (p2),138,0,0.0,5.0957837140243105e+53,-5.0957837140243105e+53,-100.0
Andy Murray vs Corentin Moutet (p2),178,0,0.0,9.212002588500974e+46,-9.212002588500974e+46,-100.0
Leolia Jeanjean vs Nadia Podoroska (p1),1,0,0.0,5.835834713832148e+49,-5.835834713832148e+49,-100.0
Bianca Andreescu vs Cristina Bucsa (p1),2,0,0.0,4.407030105869115e+53,-4.407030105869115e+53,-100.0
Bernarda Pera vs Qinwen Zheng (p2),4,0,0.0,1.2157787672036422e+54,-1.2157787672036422e+54,-100.0
Karolina Muchova vs Storm Hunter (p2),4,0,0.0,1.2498530040763713e+52,-1.2498530040763713e+52,-100.0
Fiona Ferro vs Victoria Azarenka (p1),4,0,0.0,7.637472495746128e+51,-7.637472495746128e+51,-100.0
Jil Teichmann vs Lin Zhu (p1),31,0,0.0,5.164742959535957e+54,-5.164742959535957e+54,-100.0
Karolina Muchova vs Magdalena Frech (p2),3,0,0.0,8.09724870036166e+51,-8.09724870036166e+51,-100.0
