market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_prob_diff,odds,odds_2,implied_prob,implied_diff
1.223742525,Amanda Anisimova,Aryna Sabalenka,,,fa8f49091f,Aryna Sabalenka,Aryna Sabalenka,Amanda Anisimova,2024-01-15,11636088,64563186,,,,,,,,
1.223742613,Hozumi/Ninomiya,Guo/Jiang,,,c95964e46f,,,,,9265289,60662082,,,,,,,,
1.223743971,Krawczyk/Shibahara,Schuurs/Stefani,,,adb442d2ae,,,,,64689382,64928033,,,,,,,,
1.223744526,Stefanos Tsitsipas,Taylor Fritz,,,5506c5e526,,,,,9193006,10279360,,,,,,,,
1.223744839,Garcia/Mladenovic,Babos/Bondar,,,50af11710b,,,,,10704359,59869870,,,,,,,,
1.223745879,Magdalena Frech,Coco Gauff,,,e868c829a3,Coco Gauff,Coco Gauff,Magdalena Frech,2024-01-15,8444351,27552403,,,,,,,,
1.223747563,Cacic/Molchanov,Bolelli/Vavassori,,,b54f20126d,,,,,27502318,38394420,,,,,,,,
1.223747567,Granollers/Zeballos,Mies/Smith,,,2ff5b81336,,,,,25327214,64408105,,,,,,,,
1.223747789,Kichenok/Ostapenko,Wu/Zhu,,,6841b22931,,,,,20015061,57027413,,,,,,,,
1.223751933,Marta Kostyuk,Maria Timofeeva,,,78b87229a7,Marta Kostyuk,Marta Kostyuk,Maria Timofeeva,2024-01-15,11694656,20136628,,,,,,,,
1.223751937,Koolhof/Mektic,Bopanna/Ebden,,,e75b586b22,,,,,27502188,51596955,,,,,,,,
1.223757659,Andrey Rublev,Alex De Minaur,,,1cf35b411b,,,,,7797771,10109527,,,,,,,,
1.22376063,Barbora Krejcikova,Mirra Andreeva,,,905a28cfc0,Barbora Krejcikova,Barbora Krejcikova,Mirra Andreeva,2024-01-15,8784972,49006396,,,,,,,,
1.22376306,King / Reese,Kwiatkowski / Lawson,,,6df0dc658f,,,,,18237579,41751096,,,,,,,,
1.223769895,Edoardo Lavagno,Mariano Navone,,,87454e4c7a,,,,,9632250,21809027,,,,,,,,
1.223781559,Dabrowski/Routliffe,Guo/Jiang,,,a2a1ee0d0f,,,,,59071231,60662082,,,,,,,,
1.223783838,Oceane Dodin,Qinwen Zheng,,,2ec340a6d6,Qinwen Zheng,Qinwen Zheng,Oceane Dodin,2024-01-15,7289631,18848380,,,,,,,,
1.223784167,Gonzalez/Molteni,Lammons/Withrow,,,1cc0d0ee98,,,,,8462579,23892906,,,,,,,,
1.223784172,Garcia/Mladenovic,Korpatsch/Lechemia,,,d384a6a7b7,,,,,10704359,65053454,,,,,,,,
1.223784235,Anna Kalinskaya,Jasmine Paolini,,,03003a3dda,Anna Kalinskaya,Anna Kalinskaya,Jasmine Paolini,2024-01-15,8907174,8944356,,,,,,,,
1.223784249,Nys/Zielinski,Glasspool/Rojer,,,16a50abc8a,,,,,43291463,64471970,,,,,,,,
