snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,winner_name,won
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.12,7.84,0.8928571428571428,0.1275510204081632,Pinnacle,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.0,0.9090909090909092,0.1428571428571428,Nordic Bet,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.0,0.9090909090909092,0.1428571428571428,Betsson,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.08,7.5,0.9259259259259258,0.1333333333333333,SportsBet,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.09,7.01,0.9174311926605504,0.1426533523537803,BlueBet,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.08,8.5,0.9259259259259258,0.1176470588235294,BetUS,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.08,7.5,0.9259259259259258,0.1333333333333333,William Hill (US),Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.1,7.0,0.9090909090909092,0.1428571428571428,Betfair Sportsbook,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.08,7.5,0.9259259259259258,0.1333333333333333,Paddy Power,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Andy Murray,Ryan Peniston,Andy Murray,Ryan Peniston,1.09,7.8,0.9174311926605504,0.1282051282051282,FanDuel,Andy Murray,True,False,Andy Murray,1
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,20.0,1.01,0.05,0.99009900990099,Unibet,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,19.0,1.02,0.0526315789473684,0.9803921568627452,Ladbrokes,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,20.0,1.01,0.05,0.99009900990099,Casumo,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,19.0,1.02,0.0526315789473684,0.9803921568627452,Coral,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,11.75,1.0,0.0851063829787234,1.0,MyBookie.ag,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,19.0,1.02,0.0526315789473684,0.9803921568627452,Ladbrokes,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,19.0,1.02,0.0526315789473684,0.9803921568627452,Neds,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,20.0,1.01,0.05,0.99009900990099,Barstool Sportsbook,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,20.0,1.01,0.05,0.99009900990099,BetRivers,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,19.0,1.0,0.0526315789473684,1.0,Bovada,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,14.5,1.01,0.0689655172413793,0.99009900990099,BetMGM,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,12.0,1.01,0.0833333333333333,0.99009900990099,Betclic,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,19.0,1.01,0.0526315789473684,0.99009900990099,PointsBet (AU),Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,21.0,1.02,0.0476190476190476,0.9803921568627452,Betr,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,19.0,1.0,0.0526315789473684,1.0,Virgin Bet,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,18.0,1.0,0.0555555555555555,1.0,Marathon Bet,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,20.0,1.01,0.05,0.99009900990099,Unibet,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,20.0,1.01,0.05,0.99009900990099,Unibet,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,20.0,1.01,0.05,0.99009900990099,Unibet,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,20.0,1.01,0.05,0.99009900990099,TwinSpires,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,19.0,1.0,0.0526315789473684,1.0,1xBet,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,19.0,1.0,0.0526315789473684,1.0,LiveScore Bet,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,19.0,1.01,0.0526315789473684,0.99009900990099,Betway,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,16.0,1.02,0.0625,0.9803921568627452,BetOnline.ag,Daniil Medvedev,False,True,Daniil Medvedev,0
2023-07-03,2023-07-03,Daniil Medvedev,Arthur Fery,Arthur Fery,Daniil Medvedev,16.0,1.02,0.0625,0.9803921568627452,LowVig.ag,Daniil Medvedev,False,True,Daniil Medvedev,0
