market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.223439862,Adam Walton,Matteo Arnaldi,4.8,1.23,9974a58999,Matteo Arnaldi,Matteo Arnaldi,Adam Walton,2024-01-15,10410236,21067270,0.20833333333333334,0.8130081300813008,0.021341463414634054,-0.6046747967479674
1.223440215,Christopher Eubanks,Taro Daniel,2.28,1.68,db2c53e8b6,Christopher Eubanks,Christopher Eubanks,Taro Daniel,2024-01-15,7445660,8173434,0.4385964912280702,0.5952380952380952,0.03383458646616555,-0.15664160401002503
1.223440491,Andrey Rublev,Thiago Seyboth Wild,1.01,65.0,49bb7b16a1,Andrey Rublev,Andrey Rublev,Thiago Seyboth Wild,2024-01-15,7797771,9632015,0.9900990099009901,0.015384615384615385,0.00548362528560542,0.9747143945163748
1.223479976,Francisco Cerundolo,Dane Sweeny,1.39,3.5,b00d8fdbbd,Francisco Cerundolo,Francisco Cerundolo,Dane Sweeny,2024-01-15,11204210,17980077,0.7194244604316548,0.2857142857142857,0.005138746145940454,0.43371017471736906
1.22348018,Pedro Cachin,Jesper De Jong,3.4,1.37,f2bad1227a,Jesper De Jong,Jesper De Jong,Pedro Cachin,2024-01-15,8461316,64751402,0.29411764705882354,0.7299270072992701,0.024044654358093664,-0.43580936024044653
1.223480522,Alejandro Tabilo,Aleksandar Kovacevic,100.0,1.01,ce6f4e399c,Aleksandar Kovacevic,Aleksandar Kovacevic,Alejandro Tabilo,2024-01-15,9630879,11439844,0.01,0.9900990099009901,9.90099009900991e-05,-0.9800990099009901
1.223480654,Nicolas Jarry,Flavio Cobolli,15.0,1.07,bf6e2de8d2,Flavio Cobolli,Flavio Cobolli,Nicolas Jarry,2024-01-15,8260515,16570658,0.06666666666666667,0.9345794392523364,0.0012461059190032042,-0.8679127725856698
1.223480779,Vit Kopriva,Sebastian Korda,11.0,1.09,e23d95337b,Sebastian Korda,Sebastian Korda,Vit Kopriva,2024-01-15,9543224,10902223,0.09090909090909091,0.9174311926605504,0.008340283569641338,-0.8265221017514595
1.223480875,Quentin Halys,Lloyd Harris,3.75,1.3,c8376b8ec3,Quentin Halys,Quentin Halys,Lloyd Harris,2024-01-15,7287690,11313212,0.26666666666666666,0.7692307692307692,0.03589743589743577,-0.5025641025641026
1.223481402,Denis Shapovalov,Jakub Mensik,2.3,1.77,3c69aabc23,Jakub Mensik,Jakub Mensik,Denis Shapovalov,2024-01-15,19924829,39835947,0.4347826086956522,0.5649717514124294,-0.0002456398919183922,-0.13018914271677717
1.223482056,Omar Jasika,Hubert Hurkacz,20.0,1.06,766524670e,Hubert Hurkacz,Hubert Hurkacz,Omar Jasika,2024-01-15,7335917,19924838,0.05,0.9433962264150942,-0.006603773584905714,-0.8933962264150942
1.223482152,Hugo Grenier,Alexandre Muller,1.21,5.5,47a8521eef,Hugo Grenier,Hugo Grenier,Alexandre Muller,2024-01-15,8813394,9630445,0.8264462809917356,0.18181818181818182,0.008264462809917328,0.6446280991735538
1.223482344,Lukas Klein,Soonwoo Kwon,1.02,50.0,e403b4f164,Lukas Klein,Lukas Klein,Soon Woo Kwon,2024-01-15,9635456,16149526,0.9803921568627451,0.02,0.0003921568627449634,0.960392156862745
1.223482468,Dusan Lajovic,Giulio Zeppieri,1.9,2.08,7ccc7723b2,Giulio Zeppieri,Giulio Zeppieri,Dusan Lajovic,2024-01-15,4688724,12154088,0.5263157894736842,0.4807692307692307,0.007085020242914908,0.045546558704453455
1.22348266,Mate Valkusz,Max Purcell,110.0,1.01,1c631353df,Max Purcell,Max Purcell,Mate Valkusz,2024-01-15,9953339,10460213,0.00909090909090909,0.9900990099009901,-0.0008100810081008714,-0.981008100810081
1.223482756,Sumit Nagal,Alexander Bublik,1.15,7.6,9dd0b8280e,Sumit Nagal,Sumit Nagal,Alexander Bublik,2024-01-15,8173039,8907933,0.8695652173913044,0.13157894736842105,0.0011441647597254523,0.7379862700228834
1.223486727,Fiona Ferro,Mccartney Kessler,50.0,1.02,27b39e34f7,,,,,8535268,63908231,0.02,0.9803921568627451,0.0003921568627449634,-0.960392156862745
1.223486789,Lulu Sun,Elisabetta Cocciaretto,50.0,1.01,ecd292446f,,,,,17311444,18848114,0.02,0.9900990099009901,0.010099009900990108,-0.9700990099009901
1.223486851,Marketa Vondrousova,Dayana Yastremska,3.0,1.39,6813711786,,,,,9433253,9634670,0.3333333333333333,0.7194244604316548,0.052757793764988126,-0.38609112709832144
1.223487129,Anna Kalinskaya,Katie Volynets,1.02,50.0,9f0f1a3e42,,,,,8907174,13369546,0.9803921568627451,0.02,0.0003921568627449634,0.960392156862745
1.223487286,Rebecca Marino,Jessica Pegula,55.0,1.1,2ff9c890b4,,,,,3444552,6215852,0.01818181818181818,0.9090909090909091,-0.07272727272727275,-0.8909090909090909
1.223487441,Alize Cornet,Maria Timofeeva,70.0,1.01,828e6bf86e,,,,,2263692,20136628,0.014285714285714285,0.9900990099009901,0.004384724186704325,-0.9758132956152759
1.223487503,Sara Sorribes Tormo,Alina Korneeva,100.0,2.46,af5d3c6309,,,,,6356637,59478282,0.01,0.4065040650406504,-0.5834959349593496,-0.3965040650406504
1.223487565,Yulia Putintseva,Anastasia Zakharova,29.0,1.01,c37ecdaa37,,,,,4259580,13320579,0.034482758620689655,0.9900990099009901,0.024581768521679814,-0.9556162512803005
1.223487627,Leylah Fernandez,Sara Bejlek,1.27,4.7,2c5e9e6553,,,,,11987709,35737965,0.7874015748031495,0.2127659574468085,0.00016753224995813554,0.574635617356341
1.22348778,Alycia Parks,Daria Snigur,1.07,15.5,e57600a3c8,,,,,11233227,18848101,0.9345794392523364,0.06451612903225806,-0.0009044317154054404,0.8700633102200783
1.223487905,Ons Jabeur,Yuliia Starodubtseva,1.27,7.0,5eb8488b22,,,,,6161111,51425210,0.7874015748031495,0.14285714285714285,-0.06974128233970767,0.6445444319460067
1.223487967,Sara Errani,Storm Hunter,100.0,1.34,46a2dce374,,,,,2309567,50836638,0.01,0.7462686567164178,-0.24373134328358215,-0.7362686567164178
1.223488029,Ana Bogdan,Brenda Fruhvirtova,2.48,1.66,1562316945,,,,,3875013,42133537,0.40322580645161293,0.6024096385542169,0.005635445005829798,-0.19918383210260399
1.223488126,Ella Seidel,Aryna Sabalenka,21.0,1.04,22d3716ed3,,,,,44932193,64563186,0.047619047619047616,0.9615384615384615,0.009157509157509125,-0.9139194139194138
1.223541122,Tennys Sandgren,Kaichi Uchida,1.1,2.0,38cf6fe5a0,,,,,6604266,8957119,0.9090909090909091,0.5,0.40909090909090917,0.40909090909090906
1.22354113,Giovanni Fonio,Nick Hardt,1.01,2.36,55bccf97a8,,,,,9712890,10583361,0.9900990099009901,0.42372881355932207,0.4138278234603121,0.5663701963416681
1.223552277,Roberto Carballes Baena,Hugo Gaston,34.0,1.01,549de1f1e8,Hugo Gaston,Hugo Gaston,Roberto Carballes Baena,2024-01-15,7185192,10303696,0.029411764705882353,0.9900990099009901,0.01951077460687234,-0.9606872451951077
1.223552861,Michael Geerts,John Echeverria,1.46,3.25,f6133c94d6,,,,,8874195,19446888,0.684931506849315,0.3076923076923077,-0.00737618545837726,0.3772391991570073
1.223552873,Valentin Royer,Tomas Quesada Perez,1.02,100.0,570a651c93,,,,,21256256,38578437,0.9803921568627451,0.01,-0.009607843137254934,0.970392156862745
1.223552877,Altug Celikbilek,Vilius Gaubas,1.49,2.88,2ef1bf61dd,,,,,8842202,25215633,0.6711409395973155,0.3472222222222222,0.018363161819537677,0.32391871737509326
1.223552885,Federico Iannaccone,Aidan Mchugh,2.68,1.51,37accba1d1,,,,,11144234,51188773,0.3731343283582089,0.6622516556291391,0.035385983987348046,-0.2891173272709302
1.223552893,Lorenzo Giustino,Alberto Barroso Campos,2.7,1.64,7882266f0d,,,,,7534093,9634521,0.37037037037037035,0.6097560975609756,-0.019873532068654054,-0.23938572719060525
1.223552897,Enrico Dalla Valle,Javier Barranco Cosano,1.6,1.35,d758517e70,,,,,8998802,10082231,0.625,0.7407407407407407,0.3657407407407407,-0.1157407407407407
1.223553301,Ryan Peniston,Gijs Brouwer,2.02,1.85,83a1ad1f9a,,,,,9629249,9629296,0.49504950495049505,0.5405405405405405,0.035590045491035394,-0.045491035590045414
1.223559992,Barbora Krejcikova,Tamara Korpatsch,1.19,6.4,50fd2d610e,,,,,8784972,9166525,0.8403361344537815,0.15625,-0.0034138655462184753,0.6840861344537815
1.223560109,Alycia Parks,Leylah Fernandez,1.09,12.0,1ee0b4c091,,,,,11233227,11987709,0.9174311926605504,0.08333333333333333,0.000764525993883769,0.834097859327217
1.223560822,Maria Sakkari,Elina Avanesyan,29.0,1.01,47792fed3a,,,,,9002331,14383103,0.034482758620689655,0.9900990099009901,0.024581768521679814,-0.9556162512803005
1.223561566,Kamilla Rakhimova,Diane Parry,1.91,2.1,a89934bf71,,,,,11144238,12737413,0.5235602094240838,0.47619047619047616,-0.00024931438544006923,0.0473697332336076
1.223567489,Orlando Luz,Luciano Emanuel Ambrogi,1.54,2.6,ab86941aaf,,,,,9420501,42553870,0.6493506493506493,0.3846153846153846,0.033966033966033926,0.26473526473526476
1.223567493,Mateus Alves,Nicolas Mejia,1.35,3.9,4e750f72f3,,,,,9628680,10902197,0.7407407407407407,0.25641025641025644,-0.002849002849002913,0.48433048433048426
1.223567494,Ernesto Escobedo,Max Houkes,3.2,1.41,155e967aed,,,,,8700174,19064042,0.3125,0.7092198581560284,0.021719858156028504,-0.3967198581560284
1.223567507,Otto Virtanen,Abdullah Shelbayh,1.01,110.0,9d8e022ef9,,,,,11694730,53128067,0.9900990099009901,0.00909090909090909,-0.0008100810081008714,0.981008100810081
1.223567521,Francesco Maestrelli,Daniel Rincon,2.8,1000.0,a6dda452d2,,,,,21652017,27592752,0.35714285714285715,0.001,-0.6418571428571429,0.35614285714285715
1.22356753,Benoit Paire,Geoffrey Blancaneaux,34.0,1.01,b3192c8c23,,,,,3911345,9196749,0.029411764705882353,0.9900990099009901,0.01951077460687234,-0.9606872451951077
