match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,actual_winner,p1_is_winner,p2_is_winner,winner_clean,p1_clean,p1_won,odds_margin,is_fav_p1,implied_diff,p_model,ev_p1_model,model_bet,profit_model
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.95,1.38,0.3389830508474576,0.7246376811594204,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.063620732006878,0,-0.3856546303119628,0.4380455679403164,0.2922344254239336,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.9,1.37,0.3448275862068966,0.7299270072992701,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0747545935061666,0,-0.3850994210923735,0.4392657460210634,0.2738706634610838,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.9,1.37,0.3448275862068966,0.7299270072992701,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0747545935061666,0,-0.3850994210923735,0.4392657460210634,0.2738706634610838,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.2,1.34,0.4545454545454545,0.7462686567164178,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.2008141112618724,0,-0.2917232021709633,0.5662765242896428,0.2458083534372143,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,3.95,1.84,0.2531645569620253,0.5434782608695652,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,-0.2033571821684094,0,-0.2903137039075399,0.5496812747182962,1.1712410351372702,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,3.25,1.41,0.3076923076923077,0.7092198581560284,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0169121658483359,0,-0.4015275504637207,0.4156636289275432,0.3509067940145156,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,3.45,1.45,0.2898550724637681,0.6896551724137931,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,-0.0204897551224387,0,-0.399800099950025,0.4161764780382807,0.4358088492320684,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.93,1.44,0.341296928327645,0.6944444444444444,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0357413727720894,0,-0.3531475161167994,0.4788821616005171,0.4031247334895154,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.75,1.43,0.3636363636363636,0.6993006993006994,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0629370629370629,0,-0.3356643356643358,0.5029460575470043,0.3831016582542618,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,3.0,1.36,0.3333333333333333,0.7352941176470588,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0686274509803921,0,-0.4019607843137254,0.4174353513686606,0.2523060541059818,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.75,1.43,0.3636363636363636,0.6993006993006994,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0629370629370629,0,-0.3356643356643358,0.5029460575470043,0.3831016582542618,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.4,1.5,0.4166666666666667,0.6666666666666666,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0833333333333332,0,-0.2499999999999999,0.6136831275327909,0.472839506078698,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.65,1.44,0.3773584905660377,0.6944444444444444,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.071802935010482,0,-0.3170859538784067,0.527577745200488,0.398081024781293,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.8,1.4,0.3571428571428571,0.7142857142857143,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0714285714285714,0,-0.3571428571428572,0.4753224383810555,0.3309028274669552,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.75,1.43,0.3636363636363636,0.6993006993006994,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0629370629370629,0,-0.3356643356643358,0.5029460575470043,0.3831016582542618,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,3.0,1.36,0.3333333333333333,0.7352941176470588,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0686274509803921,0,-0.4019607843137254,0.4174353513686606,0.2523060541059818,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,2.88,1.36,0.3472222222222222,0.7352941176470588,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0825163398692809,0,-0.3880718954248365,0.4357991743694971,0.2551016221841518,True,-1.0
2023-01-16,Tomas Martin Etcheverry,Gregoire Barrere,Gregoire Barrere,Tomas Martin Etcheverry,3.0,1.36,0.3333333333333333,0.7352941176470588,Tomas Martin Etcheverry,False,True,tomas martin etcheverry,gregoire barrere,0,0.0686274509803921,0,-0.4019607843137254,0.4174353513686606,0.2523060541059818,True,-1.0
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.5,2.65,0.6666666666666666,0.3773584905660377,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,0.0440251572327043,1,0.2893081761006289,0.673167492703209,0.0097512390548134,True,0.5
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.44,2.7,0.6944444444444444,0.3703703703703703,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,0.0648148148148146,1,0.3240740740740741,0.7125713435949844,0.0261027347767775,True,0.43999999999999995
2023-01-16,Botic Van De Zandschulp,Ilya Ivashka,Botic Van de Zandschulp,Ilya Ivashka,1.42,2.8,0.7042253521126761,0.3571428571428571,Botic Van De Zandschulp,False,False,botic van de zandschulp,botic van de zandschulp,1,0.0613682092555332,1,0.347082494969819,0.7364115083607419,0.0457043418722534,True,0.41999999999999993
