market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2
1.213496891,Elise Mertens,Jule Niemeier,,,Elise Mertens,Elise Mertens,Jule Niemeier,2023-04-24,elise mertens,jule niemeier,9002334,11173943
1.213498428,Magda Linette,Mirra Andreeva,,,Mirra Andreeva,Mirra Andreeva,Magda Linette,2023-04-24,magda linette,mirra andreeva,7083215,49006396
1.213499902,Caroline Garcia,Mayar Sherif,,,Mayar Sherif,Mayar Sherif,Caroline Garcia,2023-04-24,caroline garcia,mayar sherif,5248977,9028621
1.213535459,Petra Martic,Anna Kalinskaya,,,Petra Martic,Petra Martic,Anna Kalinskaya,2023-04-24,petra martic,anna kalinskaya,2346703,8907174
1.213536177,Ekaterina Alexandrova,Qinwen Zheng,,,Ekaterina Alexandrova,Ekaterina Alexandrova,Qinwen Zheng,2023-04-24,ekaterina alexandrova,qinwen zheng,8681458,18848380
1.213537635,Martina Trevisan,Alycia Parks,,,Martina Trevisan,Martina Trevisan,Alycia Parks,2023-04-24,martina trevisan,alycia parks,9345630,11233227
1.21354284,Veronika Kudermetova,Anastasia Potapova,,,Veronika Kudermetova,Veronika Kudermetova,Anastasia Potapova,2023-04-24,veronika kudermetova,anastasia potapova,8279497,10554735
1.213544369,Lesia Tsurenko,Daria Kasatkina,,,Daria Kasatkina,Daria Kasatkina,Lesia Tsurenko,2023-04-24,lesia tsurenko,daria kasatkina,5300861,7795290
1.21354471,Bernarda Pera,I Swiatek,,,Iga Swiatek,Iga Swiatek,Bernarda Pera,2023-04-24,bernarda pera,i swiatek,8784983,55228386
1.213545031,Jessica Pegula,Marie Bouzkova,,,Jessica Pegula,Jessica Pegula,Marie Bouzkova,2023-04-24,jessica pegula,marie bouzkova,6215852,8442764
1.213570082,Irinia-Camelia Begu,Liudmila Samsonova,,,Irina Camelia Begu,Irina Camelia Begu,Liudmila Samsonova,2023-04-24,irinia camelia begu,liudmila samsonova,18309994,21067365
1.213578309,Mirra Andreeva,A Sabalenka,,,Aryna Sabalenka,Aryna Sabalenka,Mirra Andreeva,2023-04-24,mirra andreeva,a sabalenka,49006396,55177835
1.213589179,Elise Mertens,Mayar Sherif,,,Mayar Sherif,Mayar Sherif,Elise Mertens,2023-04-24,elise mertens,mayar sherif,9002334,9028621
1.213595139,Paula Badosa,Maria Sakkari,,,Maria Sakkari,Maria Sakkari,Paula Badosa,2023-04-24,paula badosa,maria sakkari,7412588,9002331
1.213629171,Daria Kasatkina,Veronika Kudermetova,,,Veronika Kudermetova,Veronika Kudermetova,Daria Kasatkina,2023-04-24,daria kasatkina,veronika kudermetova,7795290,8279497
1.213629427,Jessica Pegula,Martina Trevisan,,,Jessica Pegula,Jessica Pegula,Martina Trevisan,2023-04-24,jessica pegula,martina trevisan,6215852,9345630
1.21363448,Petra Martic,Barbora Krejcikova,,,Petra Martic,Petra Martic,Barbora Krejcikova,2023-04-24,petra martic,barbora krejcikova,2346703,8784972
1.213637236,Ekaterina Alexandrova,I Swiatek,,,Iga Swiatek,Iga Swiatek,Ekaterina Alexandrova,2023-04-24,ekaterina alexandrova,i swiatek,8681458,55228386
1.213670666,Mayar Sherif,A Sabalenka,,,Aryna Sabalenka,Aryna Sabalenka,Mayar Sherif,2023-04-24,mayar sherif,a sabalenka,9028621,55177835
1.213679729,Maria Sakkari,Irinia-Camelia Begu,,,Maria Sakkari,Maria Sakkari,Irina Camelia Begu,2023-04-24,maria sakkari,irinia camelia begu,9002331,18309994
1.213688172,Jessica Pegula,Veronika Kudermetova,,,Veronika Kudermetova,Veronika Kudermetova,Jessica Pegula,2023-04-24,jessica pegula,veronika kudermetova,6215852,8279497
1.213689817,Petra Martic,I Swiatek,,,Iga Swiatek,Iga Swiatek,Petra Martic,2023-04-24,petra martic,i swiatek,2346703,55228386
1.213727436,Maria Sakkari,A Sabalenka,,,Aryna Sabalenka,Aryna Sabalenka,Maria Sakkari,2023-04-24,maria sakkari,a sabalenka,9002331,55177835
1.213764164,Veronika Kudermetova,I Swiatek,,,Iga Swiatek,Iga Swiatek,Veronika Kudermetova,2023-04-24,veronika kudermetova,i swiatek,8279497,55228386
1.213809213,A Sabalenka,I Swiatek,,,Aryna Sabalenka,Aryna Sabalenka,Iga Swiatek,2023-04-24,a sabalenka,i swiatek,55177835,55228386
1.213834894,Lauren Davis,Sorana Cirstea ,,,Sorana Cirstea,Sorana Cirstea,Lauren Davis,2023-04-24,lauren davis,sorana cirstea,4176991,51395204
