tourney_date,surface,winner_name,loser_name,winner_rank,loser_rank,score,best_of,tour
20230116,Hard,Lorenzo Sonego,Nuno Borges,47.0,111.0,7-6(4) 6-3 6-7(6) 6-1,5,ATP
20230116,Hard,Taro Daniel,Ernesto Escobedo,94.0,313.0,7-5 6-2 3-6 6-3,5,ATP
20230116,Hard,Denis Shapovalov,Dusan Lajovic,22.0,86.0,6-4 4-6 6-4 6-1,5,ATP
20230116,Hard,Sebastian Korda,Cristian Garin,31.0,87.0,6-4 1-6 6-3 6-2,5,ATP
20230116,Hard,Yosuke Watanuki,Arthur Rinderknech,138.0,59.0,6-3 6-3 6-2,5,ATP
20230116,Hard,John Millman,Marc Andrea Huesler,140.0,51.0,6-7(8) 7-5 6-7(2) 6-2 6-3,5,ATP
20230116,Hard,Daniil Medvedev,Marcos Giron,8.0,56.0,6-0 6-1 6-2,5,ATP
20230116,Hard,Stefanos Tsitsipas,Quentin Halys,4.0,61.0,6-3 6-4 7-6(6),5,ATP
20230116,Hard,Rinky Hijikata,Yannick Hanfmann,169.0,128.0,4-6 4-6 6-3 7-6(5) 6-3,5,ATP
20230116,Hard,Tallon Griekspoor,Pavel Kotov,63.0,117.0,6-3 7-6(3) 6-3,5,ATP
20230116,Hard,Botic Van De Zandschulp,Ilya Ivashka,34.0,73.0,6-3 3-6 7-5 6-3,5,ATP
20230116,Hard,Lloyd Harris,Lorenzo Musetti,186.0,19.0,6-4 6-1 6-7(0) 2-6 7-6(4),5,ATP
20230116,Hard,Marton Fucsovics,Federico Coria,78.0,76.0,4-6 7-5 2-6 7-6(6) 6-2,5,ATP
20230116,Hard,Tomas Martin Etcheverry,Gregoire Barrere,79.0,83.0,3-6 6-3 6-4 6-4,5,ATP
20230116,Hard,Jannik Sinner,Kyle Edmund,16.0,581.0,6-4 6-0 6-2,5,ATP
20230116,Hard,Cameron Norrie,Luca Van Assche,12.0,143.0,7-6(3) 6-0 6-3,5,ATP
20230116,Hard,Constant Lestienne,Thiago Monteiro,55.0,77.0,6-3 7-6(2) 6-3,5,ATP
20230116,Hard,Christopher Eubanks,Soon Woo Kwon,116.0,52.0,6-3 6-7(1) 6-3 4-6 6-4,5,ATP
20230116,Hard,Jiri Lehecka,Borna Coric,71.0,23.0,6-3 6-3 6-3,5,ATP
20230116,Hard,Francisco Cerundolo,Guido Pella,29.0,,6-4 6-4 6-3,5,ATP
20230116,Hard,Corentin Moutet,Yibing Wu,62.0,114.0,6-4 5-7 6-2 4-6 7-5,5,ATP
20230116,Hard,Alex Molcan,Stan Wawrinka,53.0,139.0,6-7(3) 6-3 1-6 7-6(2) 6-4,5,ATP
20230116,Hard,Felix Auger Aliassime,Vasek Pospisil,7.0,99.0,1-6 7-6(4) 7-6(3) 6-3,5,ATP
20230116,Hard,Andrey Rublev,Dominic Thiem,6.0,98.0,6-3 6-4 6-2,5,ATP
20230116,Hard,Emil Ruusuvuori,Max Purcell,46.0,205.0,4-6 6-3 6-4 7-6(11),5,ATP
20230116,Hard,Jeremy Chardy,Daniel Elahi Galan,,70.0,1-6 7-5 6-1 6-4,5,ATP
20230116,Hard,Daniel Evans,Facundo Bagnis,30.0,91.0,6-4 4-6 6-4 6-4,5,ATP
20230116,Hard,Denis Kudla,Roman Safiullin,108.0,97.0,3-6 7-5 7-6(6) 6-3,5,ATP
20230116,Hard,Ugo Humbert,Richard Gasquet,106.0,42.0,6-3 6-4 6-3,5,ATP
20230116,Hard,Maxime Cressy,Albert Ramos,41.0,37.0,7-6(2) 7-5 3-6 6-3,5,ATP
20230116,Hard,Holger Rune,Filip Krajinovic,10.0,54.0,6-2 6-3 6-4,5,ATP
20230116,Hard,Pablo Carreno Busta,Pedro Cachin,15.0,58.0,7-6(4) 6-1 7-6(3),5,ATP
20230116,Hard,Benjamin Bonzi,Mattia Bellucci,48.0,152.0,4-6 6-3 7-6(5) 6-4,5,ATP
20230116,Hard,Adrian Mannarino,John Isner,45.0,43.0,6-7(5) 7-6(8) 6-2 6-2,5,ATP
20230116,Hard,Alex De Minaur,Yu Hsiou Hsu,24.0,209.0,6-2 6-2 6-3,5,ATP
20230116,Hard,Grigor Dimitrov,Aslan Karatsev,28.0,82.0,7-6(3) 7-5 6-2,5,ATP
20230116,Hard,Laslo Djere,Zizou Bergs,68.0,130.0,6-4 1-6 6-4 6-1,5,ATP
20230116,Hard,Enzo Couacaud,Hugo Dellien,191.0,131.0,6-4 7-5 6-0,5,ATP
20230116,Hard,Novak Djokovic,Roberto Carballes Baena,5.0,75.0,6-3 6-4 6-0,5,ATP
