snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner,odds_margin,implied_diff,won
2023-01-16,2023-01-16,Jil Teichmann,Harriet Dart,Harriet Dart,Jil Teichmann,2.58,1.49,0.3875968992248061,0.6711409395973155,MyBookie.ag,Jil Teichmann,False,True,-0.05873783882212158,-0.28354404037250935,0
2023-01-16,2023-01-16,Elena Rybakina,Elisabetta Cocciaretto,Elena Rybakina,Elisabetta Cocciaretto,1.36,3.25,0.7352941176470588,0.3076923076923077,Bovada,Elena Rybakina,True,False,-0.04298642533936636,0.42760180995475106,1
2023-01-16,2023-01-16,Lin Zhu,Rebecca Marino,Lin Zhu,Rebecca Marino,2.28,1.72,0.4385964912280702,0.5813953488372093,Matchbook,Lin Zhu,True,False,-0.019991840065279654,-0.14279885760913913,1
2023-01-16,2023-01-16,Victoria Azarenka,Sofia Kenin,Sofia Kenin,Victoria Azarenka,3.0,1.38,0.3333333333333333,0.7246376811594204,Unibet,Victoria Azarenka,False,True,-0.05797101449275366,-0.3913043478260871,0
2023-01-17,2023-01-16,Ons Jabeur,Tamara Zidansek,Ons Jabeur,Tamara Zidansek,1.12,6.5,0.8928571428571428,0.1538461538461538,LiveScore Bet,Ons Jabeur,True,False,-0.04670329670329654,0.739010989010989,1
2023-01-17,2023-01-16,Barbora Krejcikova,Clara Burel,Barbora Krejcikova,Clara Burel,1.14,5.4,0.8771929824561404,0.1851851851851851,SportsBet,Barbora Krejcikova,True,False,-0.06237816764132553,0.6920077972709553,1
2023-01-17,2023-01-16,Jessica Pegula,Aliaksandra Sasnovich,Aliaksandra Sasnovich,Jessica Pegula,5.1,1.18,0.196078431372549,0.8474576271186441,Unibet,Jessica Pegula,False,True,-0.04353605849119324,-0.6513791957460952,0
2023-01-17,2023-01-16,Anhelina Kalinina,Petra Kvitova,Anhelina Kalinina,Petra Kvitova,2.6,1.5,0.3846153846153846,0.6666666666666666,Unibet,Anhelina Kalinina,True,False,-0.0512820512820511,-0.28205128205128205,1
2023-01-17,2023-01-16,Claire Liu,Madison Brengle,Claire Liu,Madison Brengle,1.64,2.25,0.6097560975609756,0.4444444444444444,TwinSpires,Claire Liu,True,False,-0.054200542005419905,0.16531165311653118,1
2023-01-17,2023-01-16,Belinda Bencic,Viktoriya Tomova,Belinda Bencic,Viktoriya Tomova,1.06,10.5,0.9433962264150942,0.0952380952380952,Barstool Sportsbook,Belinda Bencic,True,False,-0.038634321653189474,0.848158131176999,1
2023-01-17,2023-01-16,Anastasia Potapova,Sloane Stephens,Anastasia Potapova,Sloane Stephens,2.07,1.76,0.4830917874396135,0.5681818181818182,1xBet,Anastasia Potapova,True,False,-0.051273605621431795,-0.08509003074220473,1
