market_id,player_1,player_2,odds_player_1,odds_player_2,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.208575026,Taro Daniel,Ernesto Escobedo,1.01,2.78,Taro Daniel,Taro Daniel,Ernesto Escobedo,2023-01-16,taro daniel,ernesto escobedo,8173434,8700174,0.9900990099009901,0.3597122302158274,0.3498112401168174,0.6303867796851628
1.208575045,Yannick Hanfmann,Rinky Hijikata,29.0,1.01,Rinky Hijikata,Rinky Hijikata,Yannick Hanfmann,2023-01-16,yannick hanfmann,rinky hijikata,8639275,12343905,0.034482758620689655,0.9900990099009901,0.024581768521679814,-0.9556162512803005
1.208575051,Aleksandar Vukic,Brandon Holt,100.0,1.97,Brandon Holt,Brandon Holt,Aleksandar Vukic,2023-01-16,aleksandar vukic,brandon holt,8979695,10410230,0.01,0.5076142131979695,-0.4823857868020305,-0.4976142131979695
1.208575057,Nicolas Jarry,Miomir Kecmanovic,4.0,75.0,Nicolas Jarry,Nicolas Jarry,Miomir Kecmanovic,2023-01-16,nicolas jarry,miomir kecmanovic,8260515,9657480,0.25,0.013333333333333334,-0.7366666666666667,0.23666666666666666
1.208575164,Oscar Otte,Juncheng Shang,4.5,1.09,Juncheng Shang,Juncheng Shang,Oscar Otte,2023-01-16,oscar otte,juncheng shang,9624731,38901959,0.2222222222222222,0.9174311926605504,0.1396534148827726,-0.6952089704383282
1.208575172,Jaume Munar,Dalibor Svrcina,1.51,2.98,Dalibor Svrcina,Dalibor Svrcina,Jaume Munar,2023-01-16,jaume munar,dalibor svrcina,9350385,13714711,0.6622516556291391,0.33557046979865773,-0.002177874572203198,0.3266811858304814
1.208575184,Emil Ruusuvuori,Max Purcell,1.27,100.0,Emil Ruusuvuori,Emil Ruusuvuori,Max Purcell,2023-01-16,emil ruusuvuori,max purcell,8979329,10460213,0.7874015748031495,0.01,-0.20259842519685045,0.7774015748031495
1.20857519,Jan-Lennard Struff,Tommy Paul,3.4,1.45,Tommy Paul,Tommy Paul,Jan Lennard Struff,2023-01-16,jan lennard struff,tommy paul,8259098,8859306,0.29411764705882354,0.6896551724137931,-0.016227180527383256,-0.3955375253549696
1.208575685,Laslo Djere,Zizou Bergs,1.5,2.9,Laslo Djere,Laslo Djere,Zizou Bergs,2023-01-16,laslo djere,zizou bergs,7692106,9634024,0.6666666666666666,0.3448275862068966,0.011494252873563315,0.32183908045977005
1.208595656,Juan Pablo Varillas,Alexander Zverev,38.0,1.01,Alexander Zverev,Alexander Zverev,Juan Pablo Varillas,2023-01-16,juan pablo varillas,alexander zverev,11772759,19924823,0.02631578947368421,0.9900990099009901,0.016414799374674383,-0.9637832204273059
