match_id,player,odds,pred_prob,ev,actual_winner,won,expected_value,predicted_prob,winner
,Daniel  Evans,1.62,0.9697703460407886,0.5710279605860776,Daniel Evans,False,0.5710279605860776,0.9697703460407886,0
,Alex De Minaur,1.24,1.0,0.24,Alex De Minaur,True,0.24,1.0,1
,Andrey Rublev,1.49,1.0,0.49,Andrey Rublev,True,0.49,1.0,1
,Jack Draper,2.72,0.9252465425048564,1.5166705956132096,Jack Draper,True,1.5166705956132096,0.9252465425048564,1
,Carlos Alcaraz,1.02,1.0,0.02,Carlos Alcaraz,True,0.02,1.0,1
,Stan Wawrinka,1.33,1.0,0.33,Stan Wawrinka,True,0.33,1.0,1
,Dominic Stricker,1.01,1.0,0.01,Dominic Stricker,True,0.01,1.0,1
,Aslan Karatsev,2.58,0.4298197352408233,0.1089349169213241,Ben Shelton,False,0.1089349169213241,0.4298197352408233,0
,Frances Tiafoe,1.01,1.0,0.01,Frances Tiafoe,True,0.01,1.0,1
,Rinky Hijikata,1.01,1.0,0.01,Rinky Hijikata,True,0.01,1.0,1
,Jack Draper,1.38,0.8986056938548891,0.2400758575197468,Jack Draper,True,0.2400758575197468,0.8986056938548891,1
,Alex De Minaur,1.27,0.98560457070558,0.2517178047960867,Alex De Minaur,True,0.2517178047960867,0.98560457070558,1
,Jannik Sinner,1.13,0.99901488066735,0.1288868151541053,Jannik Sinner,True,0.1288868151541053,0.99901488066735,1
,Carlos Alcaraz,1.04,1.0,0.04,Carlos Alcaraz,True,0.04,1.0,1
,Daniil Medvedev,1.02,1.0,0.02,Daniil Medvedev,True,0.02,1.0,1
,Ben Shelton,1.15,0.9999331736482308,0.1499231496954652,Ben Shelton,True,0.1499231496954652,0.9999331736482308,1
,Taylor Fritz,1.15,0.9846210498788044,0.1323142073606249,Taylor Fritz,True,0.1323142073606249,0.9846210498788044,1
,Carlos Alcaraz,1.04,1.0,0.04,Carlos Alcaraz,True,0.04,1.0,1
,Andrey Rublev,1.41,0.9730285477700632,0.371970252355789,Andrey Rublev,True,0.371970252355789,0.9730285477700632,1
,Alexander Zverev,1.06,0.9999999999280867,0.059999999923772,Alexander Zverev,True,0.059999999923772,0.9999999999280867,1
,Daniil Medvedev,1.38,0.8083142201751511,0.1154736238417084,Daniil Medvedev,True,0.1154736238417084,0.8083142201751511,1
