market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.217608968,Sachia Vickery,Donna Vekic,1.04,21.0,Sachia Vickery,Sachia Vickery,Donna Vekic,2023-08-28,sachia vickery,donna vekic,6596286,6603944,1.04,21.0,1.04,10.0,0.9615384615384615,0.1,1.0615384615384615,0.8615384615384615
1.217609097,Anastasia Pavlyuchenkova,Fiona Crawley,1.03,36.0,Anastasia Pavlyuchenkova,Anastasia Pavlyuchenkova,Fiona Crawley,2023-08-28,anastasia pavlyuchenkova,fiona crawley,11057836,18848037,1.03,36.0,1.03,10.0,0.970873786407767,0.1,1.070873786407767,0.870873786407767
1.21761347,Lesia Tsurenko,Elsa Jacquemot,1.35,4.1,Lesia Tsurenko,Lesia Tsurenko,Elsa Jacquemot,2023-08-28,lesia tsurenko,elsa jacquemot,5300861,18848406,1.35,4.1,1.35,4.1,0.7407407407407407,0.24390243902439027,0.9846431797651309,0.49683830171635046
1.217682344,Daria Saville,I Swiatek,100.0,1.02,Iga Swiatek,Iga Swiatek,Daria Saville,2023-08-28,daria saville,i swiatek,42231870,55228386,100.0,1.02,10.0,1.02,0.1,0.9803921568627451,1.080392156862745,-0.8803921568627451
1.217685359,Belinda Bencic,Yuriko Miyazaki,1.06,13.5,Belinda Bencic,Belinda Bencic,Yuriko Miyazaki,2023-08-28,belinda bencic,yuriko miyazaki,6390244,9631280,1.06,13.5,1.06,10.0,0.9433962264150942,0.1,1.0433962264150942,0.8433962264150943
1.217685591,Taylor Townsend,Beatriz Haddad Maia,1.06,17.5,Taylor Townsend,Taylor Townsend,Beatriz Haddad Maia,2023-08-28,taylor townsend,beatriz haddad maia,7066166,7083752,1.06,17.5,1.06,10.0,0.9433962264150942,0.1,1.0433962264150942,0.8433962264150943
1.217685599,Sara Sorribes Tormo,Xinyu Wang,26.0,1.03,Xin Yu Wang,Xin Yu Wang,Sara Sorribes Tormo,2023-08-28,sara sorribes tormo,xinyu wang,6356637,13578400,26.0,1.03,10.0,1.03,0.1,0.970873786407767,1.070873786407767,-0.870873786407767
1.217685982,Lauren Davis,Kaja Juvan,26.0,1.04,Kaja Juvan,Kaja Juvan,Lauren Davis,2023-08-28,lauren davis,kaja juvan,4176991,9635566,26.0,1.04,10.0,1.04,0.1,0.9615384615384615,1.0615384615384615,-0.8615384615384615
1.217685984,Victoria Azarenka,Lin Zhu,15.0,3.95,Lin Zhu,Lin Zhu,Victoria Azarenka,2023-08-28,victoria azarenka,lin zhu,2263640,8714569,15.0,3.95,10.0,3.95,0.1,0.2531645569620253,0.3531645569620253,-0.15316455696202527
1.217687093,Bernarda Pera,Xiyu Wang,1.04,26.0,Bernarda Pera,Bernarda Pera,Xiyu Wang,2023-08-28,bernarda pera,xiyu wang,8784983,11352357,1.04,26.0,1.04,10.0,0.9615384615384615,0.1,1.0615384615384615,0.8615384615384615
