match,side,stake,odds,ev,win,profit,bankroll
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,8.817623366630027e+51,5.0,0.3574058168591563,True,3.527049346652011e+52,1.3395521487501144e+53
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.3395521487501143e+52,5.25,0.4706773783907567,True,5.693096632187986e+52,1.908861811968913e+53
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.908861811968913e+52,5.0,0.4175837713486872,True,7.635447247875652e+52,2.6724065367564782e+53
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,2.6724065367564786e+52,5.0,0.4175837713486872,True,1.0689626147025914e+53,3.74136915145907e+53
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,3.7413691514590703e+52,5.6,0.5012093592106938,True,1.7210298096711721e+53,5.462398961130242e+53
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,5.243426635298449e+52,5.25,0.4079629364056454,True,2.2284563200018407e+53,7.690855281132084e+53
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,7.690855281132084e+52,5.5,0.4805680147808822,True,3.4608848765094376e+53,1.1151740157641521e+54
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.1151740157641522e+53,5.1,0.4388059352789601,True,4.5722134646330235e+53,1.5723953622274545e+54
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.5723953622274545e+53,5.0,0.4175837713486872,True,6.289581448909818e+53,2.2013535071184362e+54
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,2.201353507118436e+53,5.5,0.4586416992400568,True,9.906090782032963e+53,3.191962585321732e+54
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,3.191962585321732e+53,5.3,0.4604113039866483,True,1.3725439116883448e+54,4.564506497010077e+54
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,4.564506497010078e+53,5.3,0.4604113039866483,True,1.9627377937143334e+54,6.527244290724411e+54
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,6.527244290724412e+53,4.8,0.3942546202373951,True,2.4803528304752764e+54,9.007597121199688e+54
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,9.007597121199689e+53,6.14,0.5888343257749584,True,4.62990492029664e+54,1.3637502041496327e+55
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.3637502041496327e+54,6.14,0.5888343257749584,True,7.009676049329111e+54,2.064717809082544e+55
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,2.064717809082544e+54,5.4,0.4813558460321471,True,9.084758359963195e+54,2.9731936450788634e+55
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,2.9731936450788637e+54,5.4,0.4599435349014025,True,1.3082052038347003e+55,4.281398848913564e+55
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,4.281398848913564e+54,5.4,0.4813558460321471,True,1.8838154935219684e+55,6.165214342435532e+55
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,6.165214342435532e+54,5.4,0.4813558460321471,True,2.7126943106716344e+55,8.877908653107166e+55
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,8.877908653107167e+54,5.25,0.4706773783907567,True,3.773111177570546e+55,1.2651019830677711e+56
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.2554834341766037e+55,5.6,0.4565026278124963,True,5.775223797212376e+55,1.8426243627890088e+56
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.8426243627890088e+55,5.4,0.4813558460321471,True,8.10754719627164e+55,2.6533790824161728e+56
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,2.619904183492711e+55,4.8,0.3752059388440899,True,9.955635897272301e+55,3.648942672143403e+56
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,3.6489426721434033e+55,5.5,0.4805680147808822,True,1.6420242024645314e+56,5.290966874607935e+56
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,5.290966874607935e+55,5.25,0.4290404510276481,True,2.2486609217083723e+56,7.539627796316307e+56
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,7.539627796316307e+55,5.0,0.4175837713486872,True,3.015851118526523e+56,1.055547891484283e+57
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.055547891484283e+56,5.5,0.4805680147808822,True,4.749965511679274e+56,1.5305444426522103e+57
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,1.5305444426522103e+56,4.75,0.3835072487207821,True,5.739541659945789e+56,2.1044986086467892e+57
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,2.1044986086467894e+56,5.7,0.5665346179146329,True,9.891143460639911e+56,3.0936129547107802e+57
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,2.6923948452460447e+56,4.75,0.326365347491137,True,1.0096480669672668e+57,4.103261021678047e+57
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,4.103261021678047e+56,6.0,0.6536722732007951,True,2.0516305108390235e+57,6.15489153251707e+57
Thanasi Kokkinakis vs Yu Hsiou Hsu,p2,6.154891532517071e+56,5.2,0.4394853595685488,True,2.5850544436571698e+57,8.73994597617424e+57
Botic Van De Zandschulp vs Jordan Thompson,p2,8.73994597617424e+56,1.47,0.05641961122353,False,-8.73994597617424e+56,7.865951378556816e+57
Botic Van De Zandschulp vs Jordan Thompson,p2,7.865951378556816e+56,1.47,0.05641961122353,False,-7.865951378556816e+56,7.079356240701134e+57
Botic Van De Zandschulp vs Jordan Thompson,p2,7.079356240701134e+56,1.47,0.05641961122353,False,-7.079356240701134e+56,6.37142061663102e+57
Botic Van De Zandschulp vs Jordan Thompson,p2,6.3714206166310205e+56,1.47,0.0607410307899758,False,-6.3714206166310205e+56,5.734278554967918e+57
Jack Draper vs Radu Albot,p2,5.7342785549679185e+56,4.1,0.3412857212428466,False,-5.7342785549679185e+56,5.160850699471126e+57
Jack Draper vs Radu Albot,p2,4.857958100956162e+56,3.85,0.2682732245895796,False,-4.857958100956162e+56,4.6750548893755094e+57
Jack Draper vs Radu Albot,p2,4.039454746765341e+56,3.8,0.2419324170213924,False,-4.039454746765341e+56,4.271109414698975e+57
Jack Draper vs Radu Albot,p2,4.271109414698975e+56,3.8,0.28622524574564,False,-4.271109414698975e+56,3.8439984732290774e+57
Jack Draper vs Radu Albot,p2,3.8439984732290776e+56,4.1,0.3412857212428466,False,-3.8439984732290776e+56,3.4595986259061694e+57
Jack Draper vs Radu Albot,p2,3.4595986259061697e+56,4.0,0.3332875494244942,False,-3.4595986259061697e+56,3.1136387633155524e+57
Jack Draper vs Radu Albot,p2,3.1136387633155524e+56,4.0,0.3332875494244942,False,-3.1136387633155524e+56,2.8022748869839973e+57
Jack Draper vs Radu Albot,p2,2.8022748869839975e+56,4.2,0.3322749662783725,False,-2.8022748869839975e+56,2.5220473982855977e+57
Jack Draper vs Radu Albot,p2,2.522047398285598e+56,4.15,0.3209502803400391,False,-2.522047398285598e+56,2.269842658457038e+57
Jack Draper vs Radu Albot,p2,2.269842658457038e+56,3.9,0.2947996149621122,False,-2.269842658457038e+56,2.042858392611334e+57
